index,MatchId,Creation,Duration,Id,Mode,Name,StartTimestamp,assists,baronKills,bountyLevel,champExperience,champLevel,championId,championName,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,objectivesStolen,objectivesStolenAssists,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,quadraKills,riotIdName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,SummonerImage,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
0,NA1_3964922963,3/7/21 6:46,31.02,3964922963,CLASSIC,teambuilder-match-3964922963,47:05.2,10,0,3,18727,18,86,Garen,0,1,8966,13737,8966,38549,2,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,15121,14400,TOP,0,0,6631,3006,3123,3742,3053,3075,3340,15,2,5,TOP,0,3,1,567,55,55,3406,36,0,0,0,0,1,0,183296,16179,14132,3154,u5eDV5e92WTvRtvZzLpvd62sQ8iM2-azR_joe2GLqKx25hiqlwvjPCWgLy6VAxhvkIgySiGLKoHCNQ,0,,,SOLO,0,87,16,73,7,2,4,2,12,Et6EwIuqps_VTB6KIaWjw76PfpyXKPBBwNPzO7zjpFD0258f,180,Óatúmñ,,FALSE,100,TOP,26,1853,192138,19771,0,20531,4716,0,227,317,60,1,0,8786,3536,2992,2,0,0,17,0,1,9,TRUE
1,NA1_3964922963,3/7/21 6:46,31.02,3964922963,CLASSIC,teambuilder-match-3964922963,47:05.2,10,0,1,13675,15,106,Volibear,0,2,453,40171,453,35302,5,2,0,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,10851,9200,JUNGLE,0,0,6632,3076,3053,1028,0,3158,3364,21,1,5,JUNGLE,0,2,1,815,50111,2514,6952,132,0,0,0,0,2,0,88703,10866,28714,4986,ePOh8g7V7F1XFeeBj_mq2xnflilb-lj9ULyUB4G3WUXmIQf1ZHClZU3aVgWMjHhIjLg-KAYG58xCJA,0,,,NONE,0,68,140,60,7,4,4,19,11,OhgRuQ1C3XkfjDmp2v6s1G34uP1KOo8rbKmSiEXW4Hios6eN,190,Bruno605,,FALSE,100,JUNGLE,24,1853,156125,14496,0,37294,16455,0,17,472,185,1,0,17311,1115,1627,0,0,0,12,2,1,5,TRUE
2,NA1_3964922963,3/7/21 6:46,31.02,3964922963,CLASSIC,teambuilder-match-3964922963,47:05.2,7,0,1,16653,17,131,Diana,0,2,8389,13936,8389,23519,6,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12562,11760,MIDDLE,1,0,3157,3115,4636,3020,3916,1028,3340,22,3,7,MIDDLE,0,2,1,1017,149202,15737,7358,12,0,0,0,0,3,0,27293,1801,10750,1151,7d130dC4tZ1Yn7mpyOVbPcc_knjYP3jT7OPayMi5rYRrqHWkfWsD68xyMNGxPUtVJOVC1l7gr4Oy7A,0,,,SOLO,0,103,42,24,9,4,4,4,14,sqf8lZUlegErYXbLA4z5AtWRLz-GEQRNNh_rylNuMcUu9Q8,135,FlyBallAGS,,FALSE,100,MIDDLE,6,1853,179859,18296,0,18437,634,0,195,34,268,1,0,3363,758,329,4,0,0,16,0,1,9,TRUE
3,NA1_3964922963,3/7/21 6:46,31.02,3964922963,CLASSIC,teambuilder-match-3964922963,47:05.2,6,0,0,15156,16,74,Heimerdinger,0,4,6111,9812,6111,6455,6,2,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,14128,13190,BOTTOM,0,0,1058,4628,6653,3135,1058,3020,3364,17,2,7,BOTTOM,0,3,2,651,165002,28411,2613,20,0,0,0,0,4,0,12530,392,8889,3890,F4r4FMiyhlR3iLhS6MpnWmVwtgvQYScGAMQ_glkrzarZyigWkRb3lLp0seR64Tell_uO_IzrZm3thA,0,,,CARRY,0,108,97,44,13,3,4,4,12,K5qXPfQTXtJ28kEhvnJeMKY1tSfRlH5HIZFsA96aE8chGCs,141,management69,,FALSE,100,BOTTOM,16,1853,177533,28804,0,12839,1491,0,214,246,207,1,0,0,0,1336,4,0,0,13,2,1,7,TRUE
4,NA1_3964922963,3/7/21 6:46,31.02,3964922963,CLASSIC,teambuilder-match-3964922963,47:05.2,11,0,4,12414,14,50,Swain,0,3,1775,4263,1775,11130,4,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10135,8725,UTILITY,0,0,3853,6653,3157,3916,1026,3158,3364,16,1,5,BOTTOM,0,4,3,513,63145,15007,6858,12,0,0,0,0,5,0,7003,601,8540,5,BhrBURTKVRY6z6G-HZNcUYQd0qSAWXbCcE43ZlrtcYDCDitGli4cRP1naqUaD7ieb-u0Vova1Yi-OQ,0,,,SUPPORT,0,79,52,60,11,4,4,6,14,fLBPsTrIAhAh-OpOI9JSsSAyT9KlxjN804C355oPDsbWI64,132,DyNite7,,FALSE,100,UTILITY,32,1853,71030,16490,0,15976,5316,0,53,246,87,1,1,882,882,576,0,0,0,51,1,12,21,TRUE
5,NA1_3964922963,3/7/21 6:46,31.02,3964922963,CLASSIC,teambuilder-match-3964922963,47:05.2,3,0,0,14598,15,11,MasterYi,0,0,2267,4764,2267,11894,6,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10615,10450,TOP,0,1,6672,3124,3153,3111,0,0,3364,23,2,4,TOP,274,2,1,587,92,92,4674,4,0,0,0,0,6,0,101205,7689,14520,4668,wGLtJ6fSNFcL4wchCYBAPHj3SQMq7AuEvOvKbjLk3J1ndDL3w4nNGBeQ4Q2SRWxLJaN-KNnB9Y0GnA,0,,,SOLO,0,22,15,44,7,3,12,6,14,DJhLQ8D4h6UUn-7iw2_bqQCenr2qB0tI0wZqT_Wk9n23jCQ,46,Jin42,,FALSE,200,TOP,0,1853,140754,13029,0,21022,7206,0,184,26,119,1,0,39457,5247,1828,0,10,0,10,0,0,6,FALSE
6,NA1_3964922963,3/7/21 6:46,31.02,3964922963,CLASSIC,teambuilder-match-3964922963,47:05.2,6,0,0,12992,14,75,Nasus,0,1,0,708,0,41272,7,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,11749,11025,JUNGLE,0,1,3158,3110,6632,3065,3076,0,3340,20,3,10,JUNGLE,0,4,2,571,43047,6349,21234,113,0,0,0,0,7,0,118027,20811,24634,15,lXyAp1yhzYCGIFXmFunqYsAGydqVyf0325UQlQYU2okWYr4D-7U_3uQSo5Ocu0MY7GLrftTZpy90lQ,0,,,NONE,0,193,26,75,10,16,11,6,6,D3f9MFJJeGqrP4ODjtsaVKkhKTpbQXwO0Omx53O23goWWdA,94,EbenezerSpluge,,FALSE,200,JUNGLE,19,1853,165732,28571,0,47985,7852,0,39,525,230,1,0,4658,1410,2116,0,10,0,32,1,3,10,FALSE
7,NA1_3964922963,3/7/21 6:46,31.02,3964922963,CLASSIC,teambuilder-match-3964922963,47:05.2,4,0,0,14706,16,90,Malzahar,0,8,171,171,171,10624,5,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10148,8800,MIDDLE,0,1,1056,6653,3020,3116,1011,2031,3340,23,1,2,MIDDLE,0,2,1,614,140496,12123,7317,4,0,0,0,0,8,0,12267,142,5614,4903,0BH6XUnAAysKiSAJ4rSOlyFNINXn5j3QOAYQfRHPyLsgbjRH9_umjLlJwOLMYjPAupfN-tMUeyxgMg,0,,,SOLO,0,71,76,84,5,4,4,3,12,BAsZCg97yafbtFaWRCoCtXCePqUZpbJCPSu3-OAghgxjo2Gyx3wPy06fKg,32,StitchHi,,FALSE,200,MIDDLE,37,1853,157723,12265,0,13513,198,0,222,418,143,1,0,4960,0,582,0,10,0,7,4,0,6,FALSE
8,NA1_3964922963,3/7/21 6:46,31.02,3964922963,CLASSIC,teambuilder-match-3964922963,47:05.2,7,0,0,12847,14,360,Samira,0,3,595,595,595,14070,6,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,11109,10380,BOTTOM,0,1,6673,3006,3072,3134,1018,1055,3340,20,1,7,BOTTOM,505,4,2,908,10723,1898,14562,4,0,0,0,0,9,0,101786,14078,4358,4076,#NAME?,0,,,CARRY,0,109,14,16,4,3,4,2,7,6456YEAtkr_wFlpzA_85sbSMpx4NaezZwPuM7y3aZHSnA9g,235,foodtanari,,FALSE,200,BOTTOM,6,1853,112828,16182,0,20157,4062,195,167,91,183,2,0,318,206,1236,0,10,0,12,0,1,8,FALSE
9,NA1_3964922963,3/7/21 6:46,31.02,3964922963,CLASSIC,teambuilder-match-3964922963,47:05.2,17,0,0,11348,13,497,Rakan,0,8,214,214,214,18820,5,4,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7378,6975,UTILITY,0,1,3860,2065,3050,2055,3158,1004,3364,23,0,0,BOTTOM,0,0,0,883,14758,4631,15833,0,0,0,0,0,10,0,7608,1226,4140,4549,tHJF9cdsv-rk0EAtIvEHKSz4OsaI1Z2-CiMyqYGo4kq0BFocekrz1aIbsqWhqi9-yN4c-NNChhQqzw,0,,,SUPPORT,0,33,43,38,10,3,4,6,3,Ct-AcGRmQdIfdfPFjYK2EwarLfj2xjACt_4Eg7Sb4W8KD91j,153,Mr Gurindai,,FALSE,200,UTILITY,34,1853,26266,5858,4319,20502,3282,1478,42,170,150,5,0,3900,0,528,0,10,0,75,6,10,37,FALSE
